# Table 5. Altitude performance
#---------------------------------------------------------------------------------------------------
#      Altitude	        Pressure	 Effective exhau	        Specific	          Thrust	          Thrust	 
#            km	             atm	   velocity, m/s	      impulse, s	     coefficient	              kN	 
#---------------------------------------------------------------------------------------------------
         0.0000	          1.0000	       2617.0730	        266.8670	          1.4137	          3.1630	 
         0.2730	          0.9679	       2627.7360	        267.9550	          1.4195	          3.1760	 
         0.5480	          0.9367	       2638.1190	        269.0130	          1.4251	          3.1880	 
         0.8220	          0.9063	       2648.2290	        270.0440	          1.4305	          3.2000	 
         1.0960	          0.8767	       2658.0700	        271.0480	          1.4358	          3.2120	 
         1.3700	          0.8479	       2667.6490	        272.0240	          1.4410	          3.2240	 
         1.6440	          0.8198	       2676.9700	        272.9750	          1.4461	          3.2350	 
         1.9180	          0.7926	       2686.0400	        273.9000	          1.4510	          3.2460	 
         2.1920	          0.7660	       2694.8620	        274.7990	          1.4557	          3.2570	 
         2.4670	          0.7402	       2703.4440	        275.6750	          1.4604	          3.2670	 
         2.7410	          0.7151	       2711.7890	        276.5250	          1.4649	          3.2770	 
         3.0150	          0.6907	       2719.9020	        277.3530	          1.4692	          3.2870	 
         3.2890	          0.6670	       2727.7900	        278.1570	          1.4735	          3.2960	 
         3.5630	          0.6440	       2735.4560	        278.9390	          1.4776	          3.3060	 
         3.8370	          0.6216	       2742.9050	        279.6980	          1.4817	          3.3150	 
         4.1110	          0.5998	       2750.1420	        280.4360	          1.4856	          3.3230	 
         4.3850	          0.5786	       2757.1730	        281.1530	          1.4894	          3.3320	 
         4.6590	          0.5581	       2764.0000	        281.8500	          1.4931	          3.3400	 
         4.9330	          0.5382	       2770.6300	        282.5260	          1.4966	          3.3480	 
         5.2070	          0.5188	       2777.0660	        283.1820	          1.5001	          3.3560	 
         5.4810	          0.5000	       2783.3120	        283.8190	          1.5035	          3.3640	 
#---------------------------------------------------------------------------------------------------
#
